"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_Radial_D16.0mm_P7.50mm";1;"3m3F";;;
2;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
3;"C4, C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
4;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"C_Small";;;
5;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
6;"C9, C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
7;"D1, D2";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
8;"D3";"Diode_Bridge_DIP-4_W5.08mm_P2.54mm";1;"DB155-YAN";;;
9;"F1";"Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal";1;"500mA";;;
10;"F2";"Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal";1;"16A";;;
11;"J1";"faston_6.3";1;"L 230V";;;
12;"J2, J3";"faston_6.3";2;"N 230V";;;
13;"J4";"faston_6.3";1;"Conn_01x01_Pin";;;
14;"J5";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";1;"TAD05-03-1-L-G";;;
15;"J6";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"TAD05-02-1-L-G";;;
16;"J7";"PinHeader_2x05_P2.54mm_Vertical";1;"ZL202-10G";;;
17;"K1";"Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm";1;"RT314A24";;;
18;"L1";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"4u7H";;;
19;"Q1, Q2, Q5";"TO-92_HandSolder";3;"BC327";;;
20;"Q3, Q4";"TO-92_HandSolder";2;"BS170";;;
21;"R1, R16, R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"10k";;;
22;"R2, R3, R4, R5, R6, R7, R8, R9, R14, R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";10;"330";;;
23;"R10, R11, R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"1k";;;
24;"R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"4k7";;;
25;"SW2";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles";1;"RotaryEncoder_Switch";;;
26;"TR1";"Transformer_Breve_TEZ-38x45";1;"TEZ6.0-D-1";;;
27;"U1";"DIP-28_W7.62mm";1;"ATmega8A-P";;;
28;"U2";"FYT-5631BUHR-21";1;"FYT-5631BUHR-21";;;
29;"U4";"TSOT-23-6";1;"AP63205WU";;;
30;"Y1";"Crystal_HC49-U_Vertical";1;"49-8.000MEEJ-B";;;
